Product Card Id,Product Name,Units_Sold,Orders,Revenue,Average_Units_per_Order,Demand_Band,Average_Monthly_Demand,Demand_Std,Peak_Monthly_Demand,Coefficient_of_Variation,Demand_Score,Variability_Score,Priority_Score,Replenishment_Priority
365,Perfect Fitness Perfect Rip Deck,73698,20359,4421143.14353786,3.619922393044845,Fast Mover,2167.5882352941176,378.7373854402608,2432,0.17472755169704562,1.0,0.11016949152542373,0.6440677966101694,Medium
502,Nike Men's Dri-FIT Victory Golf Polo,62956,17869,3147800.0,3.523196597459287,Fast Mover,1851.6470588235295,329.7159367250562,2163,0.17806629786917705,0.9915254237288136,0.15254237288135594,0.6559322033898305,Medium
1014,O'Brien Men's Neoprene Life Vest,57803,16623,2888993.9135055,3.477290501112916,Fast Mover,1700.0882352941176,306.6617293061426,1995,0.18037989025498416,0.9830508474576272,0.16101694915254236,0.6542372881355932,Medium
191,Nike Men's Free 5.0+ Running Shoe,36680,11092,3667633.19662996,3.306887847097007,Fast Mover,1078.8235294117646,200.05051946616106,1371,0.18543396024671419,0.9745762711864406,0.17796610169491525,0.6559322033898305,Medium
627,Under Armour Girls' Toddler Spine Surge Runni,31735,9825,1269082.67110818,3.230025445292621,Fast Mover,933.3823529411765,172.34690434330446,1094,0.18464769962729957,0.9661016949152542,0.1694915254237288,0.6474576271186441,Medium
403,Nike Men's CJ Elite 2 TD Football Cleat,22246,18783,2891757.6623529997,1.1843688441675984,Fast Mover,654.2941176470588,114.85604413107865,740,0.17554191766864488,0.9576271186440678,0.11864406779661017,0.6220338983050847,Medium
1004,Field & Stream Sportsman 16 Gun Fire Safe,17325,15164,6929653.690575,1.1425085729359008,Fast Mover,509.55882352941177,90.18237117808141,566,0.17698127677083797,0.9491525423728814,0.1440677966101695,0.6271186440677966,Medium
1073,Pelican Sunstream 100 Kayak,15500,13727,3099845.08525,1.1291615065199971,Fast Mover,455.88235294117646,80.60256583098533,516,0.17680562827441942,0.940677966101695,0.13559322033898305,0.6186440677966102,Medium
957,Diamondback Women's Serene Classic Comfort Bi,13729,12299,4118425.571019,1.1162696154158875,Fast Mover,403.79411764705884,71.10887061050043,451,0.17610179916650992,0.9322033898305084,0.1271186440677966,0.6101694915254237,Medium
977,ENO Atlas Hammock Straps,998,321,29930.019742160002,3.1090342679127727,Fast Mover,35.642857142857146,10.705534344836115,61,0.300355673001414,0.923728813559322,0.2711864406779661,0.6627118644067795,High
116,Nike Men's Comfort 2 Slide,991,327,44585.09062432,3.0305810397553516,Fast Mover,35.392857142857146,10.067694155488912,65,0.28445553617930325,0.9152542372881356,0.23728813559322035,0.6440677966101696,Medium
565,adidas Youth Germany Black/Red Away Match Soc,969,313,67830.0,3.0958466453674123,Fast Mover,34.607142857142854,9.669881786072349,56,0.2794186687409967,0.9067796610169492,0.22033898305084745,0.6322033898305084,Medium
885,Team Golf St. Louis Cardinals Putter Grip,958,313,23940.41977515,3.060702875399361,Fast Mover,34.214285714285715,11.412654259578586,61,0.333564007586848,0.8983050847457628,0.3474576271186441,0.6779661016949153,High
728,LIJA Women's Eyelet Sleeveless Golf Polo,946,309,61490.0,3.0614886731391584,Fast Mover,33.785714285714285,11.043205193800437,50,0.32686019601100663,0.8898305084745762,0.3220338983050847,0.6627118644067795,High
804,Glove It Women's Imperial Golf Glove,941,303,18810.58979375,3.1056105610561056,Fast Mover,33.607142857142854,11.985606447099869,53,0.3566386615502618,0.8813559322033898,0.4322033898305085,0.7016949152542373,High
44,adidas Men's F10 Messi TRX FG Soccer Cleat,939,303,56330.61164488,3.099009900990099,Fast Mover,33.535714285714285,11.026843149390935,53,0.32880895440143365,0.8728813559322034,0.3389830508474576,0.659322033898305,Medium
926,Glove It Imperial Golf Towel,930,302,14870.69978864,3.0794701986754967,Fast Mover,33.214285714285715,12.254574785548584,54,0.36895493977995736,0.8601694915254238,0.4830508474576271,0.7093220338983051,High
917,Glove It Women's Mod Oval 3-Zip Carry All Gol,930,294,20450.69974701,3.163265306122449,Fast Mover,33.214285714285715,12.982487186397432,60,0.3908705819560517,0.8601694915254238,0.559322033898305,0.7398305084745763,High
642,Columbia Men's PFG Anchor Tough T-Shirt,928,304,27840.0,3.0526315789473686,Fast Mover,33.142857142857146,11.689546725408245,66,0.35270184085283496,0.8432203389830508,0.423728813559322,0.6754237288135593,High
835,Bridgestone e6 Straight Distance NFL Carolina,928,308,29686.71978552,3.012987012987013,Fast Mover,33.142857142857146,12.146373596032337,58,0.3664854102251136,0.8432203389830508,0.4745762711864407,0.6957627118644067,High
